ЕдиницаИзмерения;ЕдиницаИзмеренияМест;Качество;Количество;КоличествоМест;КоличествоУчет;Коэффициент;Номенклатура;Сумма;СуммаУчет;ХарактеристикаНоменклатуры;Цена;ЦенаВРознице;ЦенаРегл;СуммаРегл;СерияНоменклатуры
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5c9fbb58a1c};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",6};{"N",0};{"N",6};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5c9fbb58a1b};{"N",177};{"N",177};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",29.5};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5c9ecfb066a};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",9};{"N",0};{"N",10};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5c9ecfb0669};{"N",125.1};{"N",139};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",13.9};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5ca5305436a};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",11};{"N",0};{"N",9};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5ca53054369};{"N",178.97};{"N",146.43};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",16.27};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5ca7bf86fa0};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",9};{"N",0};{"N",9};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5ca7bf86f9f};{"N",146.43};{"N",146.43};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",16.27};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5ca9ea2799e};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",3};{"N",0};{"N",3};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5ca9ea2799d};{"N",111.93};{"N",111.93};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",37.31};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5cab4db926c};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",1};{"N",0};{"N",1};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5cab4db926b};{"N",16.27};{"N",16.27};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",16.27};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5caca290300};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",7};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5caca2902ff};{"N",117.1};{"N",163.94};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",23.42};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5cc87185957};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",14};{"N",0};{"N",12};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5cc87185956};{"N",245.28};{"N",210.24};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",17.52};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5ccd3d5960c};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",4};{"N",0};{"N",3};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5ccd3d5960b};{"N",55.6};{"N",41.7};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",13.9};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a5cce906761d};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",12};{"N",0};{"N",12};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a5cce906761c};{"N",447.72};{"N",447.72};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",37.31};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
